@RELATION power-spectrum

@ATTRIBUTE alpha_Ch1 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE beta_Ch1 NUMERIC
@ATTRIBUTE beta_Ch2 NUMERIC
@ATTRIBUTE beta_Ch3 NUMERIC
@ATTRIBUTE beta_Ch4 NUMERIC
@ATTRIBUTE delta_Ch1 NUMERIC
@ATTRIBUTE delta_Ch2 NUMERIC
@ATTRIBUTE delta_Ch3 NUMERIC
@ATTRIBUTE delta_Ch4 NUMERIC
@ATTRIBUTE gamma_Ch1 NUMERIC
@ATTRIBUTE gamma_Ch2 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE theta_Ch1 NUMERIC
@ATTRIBUTE theta_Ch2 NUMERIC
@ATTRIBUTE theta_Ch3 NUMERIC
@ATTRIBUTE theta_Ch4 NUMERIC
@ATTRIBUTE class {close, open}

@DATA
0.88069046, 0.22257768, -0.15610921, 1.0496821, 0.21103778, 0.7375493, -0.22612098, 0.19665621, 1.0104927, 0.5081772, 0.45259768, 0.9347765, -0.109926045, 0.10780218, -0.57642764, 0.024858119, 0.5917268, -0.06274203, -0.006386314, 0.62723535, close
0.8767529, 0.22625007, -0.14372092, 1.0496821, 0.21249595, 0.7370485, -0.21718864, 0.18084654, 1.0215919, 0.5093235, 0.45862588, 0.9563598, -0.103072956, 0.12337944, -0.5674144, 0.022456694, 0.6033184, -0.039706822, 0.018646587, 0.62261957, close
0.8767529, 0.2288597, -0.1424976, 1.050917, 0.21442758, 0.7353067, -0.20140862, 0.16971843, 1.0249283, 0.50972044, 0.48435786, 0.9704463, -0.0992841, 0.15374221, -0.5597712, 0.014318853, 0.62233216, -0.022029784, 0.037093796, 0.6191347, close
0.8767529, 0.21818015, -0.12008527, 1.0587858, 0.22085537, 0.73532903, -0.17577454, 0.16487212, 1.0136575, 0.51281613, 0.5153125, 0.9700007, -0.10101748, 0.1937555, -0.55330616, -0.00057554484, 0.6441757, -0.016449649, 0.047917623, 0.6257292, close
0.8767529, 0.20002984, -0.016905341, 1.0969496, 0.23308791, 0.7379093, -0.14311579, 0.16736084, 0.9830437, 0.520855, 0.53666407, 0.94971365, -0.106187545, 0.23595493, -0.54464823, -0.020455038, 0.6638526, -0.023600671, 0.05516277, 0.65081316, close
0.8767529, 0.17898434, 0.06884869, 1.109702, 0.24817847, 0.7408846, -0.11131722, 0.17606999, 0.9366633, 0.53182495, 0.5403942, 0.9131483, -0.11123959, 0.27456754, -0.53355634, -0.040724, 0.6760295, -0.041164342, 0.06759143, 0.69128907, close
0.8757224, 0.18686697, 0.11968387, 1.109702, 0.26209745, 0.741727, -0.088454545, 0.18799244, 0.88490665, 0.53848577, 0.5271179, 0.87183595, -0.11327946, 0.30506077, -0.52239835, -0.056033265, 0.6800073, -0.0637212, 0.09281633, 0.73693657, close
0.87027055, 0.1976048, 0.13553281, 1.109702, 0.27155012, 0.7396559, -0.07803518, 0.20053935, 0.8429549, 0.53285074, 0.5041607, 0.842052, -0.11233692, 0.3260194, -0.5139647, -0.063177764, 0.6792071, -0.08507767, 0.129165, 0.77787554, close
0.8546982, 0.21393119, 0.13553281, 1.109702, 0.27520442, 0.7350995, -0.0787631, 0.21170223, 0.8204971, 0.51009154, 0.48074496, 0.8332368, -0.11069028, 0.33935732, -0.5066836, -0.065303735, 0.6792258, -0.10529935, 0.16716424, 0.80944645, close
0.8604972, 0.22234936, 0.13553281, 1.1000916, 0.2740638, 0.7284436, -0.08598109, 0.21975672, 0.81882054, 0.4713059, 0.46371514, 0.8438209, -0.11011405, 0.35049963, -0.4961786, -0.06942573, 0.68358934, -0.1289364, 0.19396836, 0.83012414, close
0.83711034, 0.22717482, 0.13553281, 1.0817559, 0.27011824, 0.7195375, -0.09404652, 0.22561695, 0.8306369, 0.42212573, 0.45266867, 0.862123, -0.111274734, 0.365136, -0.4800894, -0.082122006, 0.6941944, -0.15763268, 0.20438348, 0.8419933, close
0.77768105, 0.22717482, 0.13553281, 1.0832205, 0.26581556, 0.70860565, -0.0990496, 0.23122588, 0.84985954, 0.37851152, 0.44588697, 0.88140804, -0.11397722, 0.3851224, -0.46128252, -0.10510634, 0.7085455, -0.19141605, 0.20041767, 0.8486073, close
0.76440567, 0.22717482, 0.13553281, 1.0890378, 0.26277372, 0.697187, -0.09978199, 0.23831639, 0.87022185, 0.3581002, 0.44563803, 0.8985575, -0.11824107, 0.40712988, -0.44453922, -0.1375898, 0.7229266, -0.21695417, 0.18947282, 0.85506773, close
0.7528528, 0.22717482, 0.13335292, 1.0890378, 0.2615648, 0.68848705, -0.097117126, 0.24729593, 0.8880689, 0.36702028, 0.45680463, 0.9142088, -0.12530823, 0.4251492, -0.43254, -0.17776589, 0.7342114, -0.22720377, 0.17987213, 0.8659786, close
0.7419606, 0.22071181, 0.13335292, 1.0890378, 0.26250023, 0.6855852, -0.09233036, 0.25688994, 0.90115666, 0.39118597, 0.48315954, 0.92867905, -0.13578565, 0.43476224, -0.42508498, -0.22305661, 0.74096507, -0.22658436, 0.17742746, 0.88188577, close
